conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1965348391875215557,Wed Sep 10 01:25:39 +0000 2025,5,@bonapasogit24 @MurtadhaOne1 @jhonsitorus_19 @Bara_4kbar @Jokond0 @Hermoyliana @feroferraferri @Amotsky @SAPARTAMPOE @elsaday__ @JonsManik72399 @Mamamochi1 @RickyKardjono @Hanz1843454 Aku udh Bang......memberikan ucapan trm ksh Pak Prab tuk slepet bawaan Mulyono. ,1965587439378161678,,bonapasogit24,in,,0,1,0,https://x.com/undefined/status/1965587439378161678,1452508101505028098,
1965387966605664545,Wed Sep 10 01:24:56 +0000 2025,0,@clashreport Kalo sudah seperti ini apa guna menyalahkan pihak mana?. Saran buat mulyono jangan kau terus²kan perilakumu menimbun bara.,1965587262835753429,,clashreport,in,,0,0,0,https://x.com/undefined/status/1965587262835753429,116993253,
1965420883918684359,Wed Sep 10 01:23:03 +0000 2025,3,@Resty_J_Cayah Najis persis mulyono. Narsis parah ,1965586786224394672,,Resty_J_Cayah,in,,0,0,0,https://x.com/undefined/status/1965586786224394672,51498517,
1965567361937015081,Wed Sep 10 01:22:03 +0000 2025,0,@Dahnilanzar Mungkin ketularan mulyono mas.,1965586533953798615,,Dahnilanzar,in,,0,0,0,https://x.com/undefined/status/1965586533953798615,1676176458316939264,
1965188308549660773,Wed Sep 10 01:21:30 +0000 2025,1,@alisyarief Ya namanya juga Mulyono hanya orang kampung...dipoles2...pinter ngedabrus nya...pendukungnya (kaum sdm low)setia karena di kasih bansos terus...kaum yg dominan di Konoha yg msh problem dgn masalah isi perut....,1965586396355461270,,alisyarief,in,,0,1,0,https://x.com/undefined/status/1965586396355461270,153649977,
1965568882527351133,Wed Sep 10 01:18:41 +0000 2025,0,@abu_waras Tidak!!! Kayanya 11 12ama mulyono ngibul,1965585687039865149,,abu_waras,in,,0,0,0,https://x.com/undefined/status/1965585687039865149,1742792814424178688,
1965572079832674781,Wed Sep 10 01:18:34 +0000 2025,3,@MARQUEZ__93 Udah pinter lu utk ngeles. Segala ngomong ternak mulyono segala. Anak ingusan kyk lu jgn2 cebok aja msh dibantuin. Shut your mouth tonk,1965585657625280636,,MARQUEZ__93,in,,0,0,0,https://x.com/undefined/status/1965585657625280636,719200698,
1965425531882783162,Wed Sep 10 01:15:43 +0000 2025,1,@lysavana1 @__AnakKolong @Kemhan_RI . . Ilmu pasti Mulyono Sudah tapi belum... ,1965584940470599813,,lysavana1,in,,0,0,0,https://x.com/undefined/status/1965584940470599813,1325993691538862080,
1965354318737137872,Wed Sep 10 01:15:21 +0000 2025,0,@toe_giman Sepertinya ternak Mulyono ada di mana mana,1965584847587738014,,toe_giman,in,,0,0,0,https://x.com/undefined/status/1965584847587738014,1875563869667762176,
1965240095939985504,Wed Sep 10 01:11:37 +0000 2025,0,@Strategi_Bisnis Setelah mulyono terbitlan pramono,1965583908801839392,,Strategi_Bisnis,in,,0,0,0,https://x.com/undefined/status/1965583908801839392,271330776,
1965573803460976785,Wed Sep 10 01:11:19 +0000 2025,0,@arifbalikpapan1 Disinilah letak kesalahan SMI di rezim Mulyono . SMI kejar pajak individu yg ajaibnya individu miskin gak dapat kerja karena perusahaan tempat bekerja bangkrut. Akhirnya jalan terbaik ngeluarin SBN . Yg beli yg punya perusahaan ogah bikin pabrik lagi ,1965583832088018965,,arifbalikpapan1,in,,0,1,0,https://x.com/undefined/status/1965583832088018965,1395249963127345155,
1965583610184098032,Wed Sep 10 01:10:26 +0000 2025,0,Blunder Lagi! Yudo Sadewa Klarifikasi Soal Sri Mulyani Agen CIA: Itu Jokes Aku Untuk Ternak Mulyono https://t.co/ebkMi0vIGU,1965583610184098032,,,in,,0,0,0,https://x.com/undefined/status/1965583610184098032,1374888571048390656,
1965434895670649022,Wed Sep 10 01:09:34 +0000 2025,0,@comstelation Soalna citra merakyatna eta menanamkan mimpi kaum aing bisa jadi kitu. Padahal mah sarua siga Mulyono baheula,1965583392780812437,,comstelation,in,,0,0,0,https://x.com/undefined/status/1965583392780812437,53360203,
1965069116458627140,Wed Sep 10 01:08:40 +0000 2025,0,@WagimanDeep212_ Ini orang lebih parah dari sri mulyono,1965583167659933900,,WagimanDeep212_,in,,0,0,0,https://x.com/undefined/status/1965583167659933900,1398239443979407364,
